XNR_genes	GO_terms	SSHG_genes
XNR_3538	GO:0008483; GO:0009058; GO:0030170	SSHG_02392
XNR_3389	GO:0016021	SSHG_02549
XNR_0519	GO:0005524; GO:0016021; GO:0016887; GO:0042626	SSHG_05405
XNR_0388	GO:0004512; GO:0006021; GO:0008654	SSHG_05536
XNR_5331	GO:0004359; GO:0006543; GO:0016740; GO:0036381; GO:0042823	SSHG_00624
XNR_5882	GO:0009055; GO:0046872; GO:0051537	SSHG_00066
XNR_4191	GO:0016491	SSHG_01747
XNR_0328	GO:0005524; GO:0005886; GO:0016021; GO:0019829; GO:0046872	SSHG_05598
XNR_1900	GO:0005524; GO:0016887	SSHG_04029
XNR_3160	GO:0004474; GO:0006097	SSHG_02777
XNR_3354	GO:0008168	SSHG_02582
XNR_2535	GO:0016787	SSHG_03394
XNR_4386	GO:0005737; GO:0008236	SSHG_01549
XNR_5047	GO:0016787	SSHG_00900
XNR_3393	GO:0016787	SSHG_02545
XNR_0606	GO:0003746; GO:0003924; GO:0005525; GO:0005737	SSHG_05319
XNR_2274	GO:0016874	SSHG_03646
XNR_1661	GO:0006284; GO:0008725	SSHG_04262
XNR_0819	GO:0005737; GO:0016990; GO:0019547	SSHG_05106
XNR_2163	GO:0010124	SSHG_03772
XNR_2295	GO:0016021	SSHG_03624
XNR_2912	GO:0003824	SSHG_03033
XNR_3947	GO:0018193	SSHG_01987
XNR_0867	GO:0016491; GO:0030151; GO:0042128	SSHG_05062
XNR_0217	GO:0016747	SSHG_05701
XNR_4666	GO:0016866; GO:0031419	SSHG_01272
XNR_4558	GO:0016021; GO:0022857	SSHG_01380
XNR_2956	GO:0016740	SSHG_02989
XNR_5173	GO:0043190; GO:0055085	SSHG_00774
XNR_3579	GO:0003677	SSHG_02348
XNR_5705	GO:0005506; GO:0009055	SSHG_00245
XNR_4455	GO:0003924; GO:0005525; GO:0005737; GO:0006807; GO:0016151	SSHG_01480
XNR_5204	GO:0001522; GO:0003723; GO:0009982	SSHG_00743
XNR_0749	GO:0003677; GO:0003700; GO:0006352; GO:0016987	SSHG_05177
XNR_0427	GO:0003951	SSHG_05497
XNR_0890	GO:0005524; GO:0005886; GO:0016021; GO:0019829; GO:0030001; GO:0046872	SSHG_05039
XNR_2638	GO:0003755; GO:0006457	SSHG_03297
XNR_0400	GO:0016021	SSHG_05524
XNR_4348	GO:0016021; GO:0016747	SSHG_01587
XNR_1807	GO:0003700	SSHG_04122
XNR_0363	GO:0016620	SSHG_05558
XNR_0576	GO:0016614; GO:0050660	SSHG_05351
XNR_1990	GO:0016021	SSHG_03943
XNR_5904	GO:0003824; GO:0051536	SSHG_00039
XNR_1135	GO:0043190; GO:0055085	SSHG_04783
XNR_4062	GO:0004613; GO:0005525; GO:0005737; GO:0006094; GO:0016301; GO:0030145	SSHG_01871
XNR_2018	GO:0003677; GO:0003700	SSHG_03914
XNR_5198	GO:0004497; GO:0005506; GO:0016705; GO:0020037	SSHG_00749
XNR_1832	GO:0003677; GO:0004386; GO:0005524	SSHG_04098
XNR_4385	GO:0005737; GO:0006364; GO:0008168	SSHG_01550
XNR_3199	GO:0016740	SSHG_02738
XNR_4320	GO:0015299; GO:0016021	SSHG_01614
XNR_2590	GO:0008757; GO:0009312; GO:0009877	SSHG_03343
XNR_4251	GO:0016787	SSHG_01688
XNR_2314	GO:0006355	SSHG_03606
XNR_0017	GO:0016787	SSHG_00018
XNR_5922	GO:0016787	SSHG_00018
XNR_5571	GO:0005737; GO:0006807; GO:0016151	SSHG_00376
XNR_0562	GO:0000155; GO:0016021; GO:0046983	SSHG_05363
XNR_0639	GO:0008679; GO:0046487; GO:0050661; GO:0051287	SSHG_05286
XNR_0583	GO:0016874	SSHG_05344
XNR_5382	GO:0004479	SSHG_00572
XNR_1352	GO:0005524; GO:0015833; GO:0016887	SSHG_04578
XNR_5706	GO:0004497; GO:0005506; GO:0016705; GO:0020037	SSHG_00244
XNR_5128	GO:0005524; GO:0016887	SSHG_00818
XNR_4734	GO:0008483	SSHG_01205
XNR_2541	GO:0016021	SSHG_03388
XNR_0446	GO:0003824; GO:0051536	SSHG_05478
XNR_0870	GO:0005524; GO:0046872	SSHG_05059
XNR_0601	GO:0016757	SSHG_05324
XNR_3271	GO:0016021	SSHG_02666
XNR_4233	GO:0005507; GO:0006825	SSHG_01705
XNR_3467	GO:0005886; GO:0048038; GO:0050136; GO:0051287	SSHG_02469
XNR_3277	GO:0003677	SSHG_02660
XNR_3551	GO:0016491	SSHG_02378
XNR_1138	GO:0005524; GO:0015833; GO:0016887	SSHG_04780
XNR_3978	GO:0003824	SSHG_01956
XNR_0122	GO:0006777	SSHG_05797
XNR_3396	GO:0016853	SSHG_02542
XNR_3497	GO:0016021	SSHG_02437
XNR_2423	GO:0003677	SSHG_03499
XNR_1186	GO:0003700; GO:0043565	SSHG_04733
XNR_0028	GO:0005351; GO:0005886; GO:0009401; GO:0016021; GO:0022877	SSHG_05886
XNR_3484	GO:0016787	SSHG_02452
XNR_0603	GO:0000160; GO:0003677; GO:0006355	SSHG_05322
XNR_0175	GO:0005524; GO:0016021; GO:0016887; GO:0042626	SSHG_05742
XNR_5766	GO:0003700	SSHG_00187
XNR_3267	GO:0016787	SSHG_02670
XNR_0398	GO:0005887; GO:0055085	SSHG_05526
XNR_2200	GO:0016021	SSHG_03722
XNR_0638	GO:0016853	SSHG_05287
XNR_3096	GO:0015689; GO:0046872	SSHG_02848
XNR_0823	GO:0008171; GO:0008173	SSHG_05102
XNR_0473	GO:0003908; GO:0005737; GO:0006307	SSHG_05450
XNR_3392	GO:0016021; GO:0022857	SSHG_02546
XNR_3409	GO:0003677	SSHG_02529
XNR_5597	GO:0003995; GO:0050660	SSHG_00350
XNR_0695	GO:0016021	SSHG_05228
XNR_4245	GO:0003677; GO:0003700	SSHG_01694
XNR_4849	GO:0016787	SSHG_01089
XNR_4900	GO:0051213	SSHG_01043
XNR_2375	GO:0005887; GO:0055085	SSHG_03547
XNR_2031	GO:0004222; GO:0016021	SSHG_03900
XNR_1208	GO:0016787	SSHG_04710
XNR_4240	GO:0000287; GO:0016823; GO:0019310; GO:0030976	SSHG_01699
XNR_0263	GO:0003677	SSHG_05660
XNR_5428	GO:0003677; GO:0005524; GO:0016021	SSHG_00525
XNR_0305	GO:0000287; GO:0005737; GO:0006281; GO:0043737	SSHG_05621
XNR_4190	GO:0006520; GO:0016831; GO:0030170	SSHG_01748
XNR_5239	GO:0003677	SSHG_00708
XNR_1192	GO:0005524; GO:0005623; GO:0015408; GO:0016887; GO:0033212; GO:0043190	SSHG_04727
XNR_2455	GO:0003677; GO:0006355; GO:0016301	SSHG_03466
XNR_0404	GO:0016491	SSHG_05520
XNR_0618	GO:0004553; GO:0005975	SSHG_05307
XNR_4312	GO:0006865; GO:0016021; GO:0022857	SSHG_01622
XNR_2133	GO:0005887; GO:0055085	SSHG_03801
XNR_4559	GO:0005524; GO:0016887	SSHG_01379
XNR_1063	GO:0019290	SSHG_04864
XNR_0887	GO:0003700	SSHG_05042
XNR_1948	GO:0003677	SSHG_03984
XNR_4200	GO:0016021	SSHG_01738
XNR_2183	GO:0016021	SSHG_03750
XNR_0275	GO:0016740	SSHG_05650
XNR_5260	GO:0003677; GO:0006355	SSHG_00689
XNR_1622	GO:0016021	SSHG_04303
XNR_0241	GO:0005886; GO:0016021; GO:0055085	SSHG_05679
XNR_1072	GO:0005737; GO:0008837; GO:0009089	SSHG_04854
XNR_0374	GO:0003677; GO:0006355	SSHG_05548
XNR_2652	GO:0016829	SSHG_03283
XNR_0608	GO:0003746	SSHG_05317
XNR_1365	GO:0000287; GO:0005524; GO:0005887; GO:0008556	SSHG_04563
XNR_1442	GO:0005524; GO:0016887	SSHG_04485
XNR_3979	GO:0004645; GO:0006206; GO:0006213; GO:0016154	SSHG_01955
XNR_4846	GO:0008410	SSHG_01093
XNR_3616	GO:0016021	SSHG_02313
XNR_0658	GO:0016491; GO:0071949	SSHG_05266
XNR_4333	GO:0004550; GO:0005524; GO:0005737; GO:0006183; GO:0006228; GO:0006241; GO:0046872	SSHG_01603
XNR_2334	GO:0005524; GO:0016887	SSHG_03586
XNR_5218	GO:0003700	SSHG_00729
XNR_4522	GO:0000155; GO:0016021; GO:0046983	SSHG_01417
XNR_3036	GO:0016021	SSHG_02908
XNR_5566	GO:0004252; GO:0005737	SSHG_00381
XNR_5297	GO:0016021	SSHG_00650
XNR_0102	GO:0008080	SSHG_05816
XNR_3404	GO:0003677; GO:0003887; GO:0006261	SSHG_02534
XNR_4779	GO:0016021	SSHG_01158
XNR_3140	GO:0016021; GO:0016301	SSHG_02802
XNR_5273	GO:0016021	SSHG_00676
XNR_0706	GO:0003677	SSHG_05217
XNR_1518	GO:0016021	SSHG_04404
XNR_1760	GO:0003677	SSHG_04169
XNR_2592	GO:0016627	SSHG_03341
XNR_1734	GO:0005524; GO:0015424; GO:0016887	SSHG_04193
XNR_3957	GO:0006865; GO:0016020	SSHG_01977
XNR_0239	GO:0005524; GO:0016887	SSHG_05681
XNR_5420	GO:0016810	SSHG_00533
XNR_5718	GO:0009063	SSHG_00232
XNR_0146	GO:0003677; GO:0006355	SSHG_05771
XNR_0153	GO:0003995; GO:0050660	SSHG_05764
XNR_0140	GO:0016021; GO:0022857	SSHG_05778
XNR_2017	GO:0016491; GO:0050661	SSHG_03916
XNR_3089	GO:0003676; GO:0004815; GO:0005524; GO:0005737; GO:0006422	SSHG_02855
XNR_4037	GO:0003824; GO:0019346; GO:0030170	SSHG_01897
XNR_5570	GO:0005737; GO:0009039; GO:0016151; GO:0043419	SSHG_00377
XNR_0345	GO:0003824	SSHG_05577
XNR_0370	GO:0005737; GO:0016872; GO:0019303; GO:0048029	SSHG_05552
XNR_0432	GO:0003677; GO:0006355	SSHG_05492
XNR_5679	GO:0008233; GO:0042742	SSHG_00271
XNR_2181	GO:0016021	SSHG_03752
XNR_4716	GO:0016021; GO:0022857	SSHG_01223
XNR_1756	GO:0003886	SSHG_04173
XNR_2108	GO:0016491	SSHG_03824
XNR_1763	GO:0004519; GO:0006298	SSHG_04165
XNR_1704	GO:0016021	SSHG_04221
XNR_2698	GO:0016787	SSHG_03238
XNR_3841	GO:0003700; GO:0008080	SSHG_02091
XNR_4902	GO:0003908; GO:0005737; GO:0006307	SSHG_01040
XNR_1475	GO:0016021	SSHG_04449
XNR_0334	GO:0003910; GO:0005524; GO:0006310; GO:0051103	SSHG_05589
XNR_3636	GO:0008137; GO:0009055; GO:0016020; GO:0042773; GO:0046872; GO:0048038; GO:0051537; GO:0051539	SSHG_02294
XNR_1809	GO:0005887; GO:0055085	SSHG_04120
XNR_0630	GO:0005576; GO:0005975; GO:0016977	SSHG_05295
XNR_0990	GO:0009058; GO:0016788	SSHG_04939
XNR_4225	GO:0000287; GO:0003824; GO:0030976	SSHG_01713
XNR_3857	GO:0098599	SSHG_02076
XNR_1560	GO:0005886; GO:0006814; GO:0015299; GO:0016021	SSHG_04364
XNR_3581	GO:0016491	SSHG_02346
XNR_0333	GO:0003896	SSHG_05590
XNR_0052	GO:0016021	SSHG_05864
XNR_3632	GO:0005886; GO:0008137; GO:0048038	SSHG_02298
XNR_0712	GO:0004604; GO:0005737; GO:0019379; GO:0070814	SSHG_05211
XNR_4506	GO:0004553; GO:0005975	SSHG_01434
XNR_1655	GO:0016021	SSHG_04268
XNR_4216	GO:0003677	SSHG_01723
XNR_5488	GO:0016491	SSHG_00459
XNR_2608	GO:0003677	SSHG_03327
XNR_2114	GO:0016787	SSHG_03818
XNR_5164	GO:0004812; GO:0005524; GO:0008270; GO:0010125; GO:0035446	SSHG_00783
XNR_5631	GO:0009116	SSHG_00316
XNR_2180	GO:0016021	SSHG_03753
XNR_3555	GO:0005737; GO:0006782; GO:0008483; GO:0030170; GO:0042286	SSHG_02373
XNR_1285	GO:0016021	SSHG_04641
XNR_0750	GO:0016021	SSHG_05176
XNR_2881	GO:0002100; GO:0008270; GO:0052717	SSHG_03065
XNR_2902	GO:0003824	SSHG_03045
XNR_4355	GO:0004222	SSHG_01580
XNR_3506	GO:0003700	SSHG_02428
XNR_0147	GO:0016829	SSHG_05770
XNR_0511	GO:0003995; GO:0050660	SSHG_05413
XNR_1387	GO:0005524; GO:0016021; GO:0016887; GO:0042626	SSHG_04541
XNR_4008	GO:0004139; GO:0005737; GO:0009264	SSHG_01926
XNR_4359	GO:0016021	SSHG_01576
XNR_1269	GO:0000160; GO:0004673; GO:0005524; GO:0016021	SSHG_04657
XNR_4434	GO:0004833; GO:0019441; GO:0020037; GO:0046872	SSHG_01501
XNR_2891	GO:0048037	SSHG_03055
XNR_5369	GO:0004152; GO:0005737; GO:0005886; GO:0006207; GO:0044205	SSHG_00587
XNR_2441	GO:0016021; GO:0016491; GO:0042128	SSHG_03480
XNR_0954	GO:0016787	SSHG_04976
XNR_5413	GO:0005524	SSHG_00541
XNR_4253	GO:0003677; GO:0016021	SSHG_01686
XNR_0573	GO:0008830	SSHG_05354
XNR_0088	GO:0010181	SSHG_05830
XNR_2051	GO:0016740	SSHG_03881
XNR_3314	GO:0003677; GO:0006355	SSHG_02623
XNR_0673	GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0042274; GO:0046872	SSHG_05251
XNR_2481	GO:0016787	SSHG_03444
XNR_4654	GO:0009055; GO:0046872; GO:0051537	SSHG_01286
XNR_2620	GO:0008236	SSHG_03315
XNR_3054	GO:0016624	SSHG_02890
XNR_3843	GO:0016810	SSHG_02089
XNR_0453	GO:0005524; GO:0016887	SSHG_05471
XNR_4088	GO:0005524	SSHG_01848
XNR_5170	GO:0003677; GO:0006355	SSHG_00777
XNR_2964	GO:0003677; GO:0015074; GO:0032196	SSHG_02981
XNR_4304	GO:0004073; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287; GO:0071266	SSHG_01630
XNR_0316	GO:0006631; GO:0045300; GO:0046872	SSHG_05611
XNR_0080	GO:0016787	SSHG_05838
XNR_0921	GO:0005887; GO:0022857	SSHG_05009
XNR_0944	GO:0003677; GO:0003700	SSHG_04985
XNR_1837	GO:0004563; GO:0005975	SSHG_04093
XNR_2758	GO:0004073; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287; GO:0071266	SSHG_03177
XNR_2797	GO:0016021	SSHG_03142
XNR_4489	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872	SSHG_01451
XNR_1752	GO:0016787; GO:0016853	SSHG_04176
XNR_1536	GO:0008080	SSHG_04388
XNR_0572	GO:0004474; GO:0006097; GO:0006099	SSHG_05355
XNR_2461	GO:0005576; GO:0005618; GO:0016021	SSHG_03461
XNR_5642	GO:0016021	SSHG_00305
XNR_4904	GO:0016021	SSHG_01038
XNR_2903	GO:0003677; GO:0003700; GO:0006352; GO:0016987	SSHG_03044
XNR_3665	GO:0008168	SSHG_02265
XNR_1399	GO:0003677; GO:0003678; GO:0005524	SSHG_04529
XNR_3278	GO:0008168	SSHG_02659
XNR_2468	GO:0000160; GO:0003824	SSHG_03455
XNR_1611	GO:0005524	SSHG_04314
XNR_2012	GO:0016021	SSHG_03920
XNR_5720	GO:0030246	SSHG_00230
XNR_3037	GO:0004674; GO:0005524; GO:0016021	SSHG_02907
XNR_1865	GO:0004672; GO:0005524	SSHG_04062
XNR_5729	GO:0016021	SSHG_00224
XNR_2350	GO:0003677	SSHG_03572
XNR_2680	GO:0003677; GO:0006304; GO:0008168	SSHG_03256
XNR_3220	GO:0002949; GO:0004222; GO:0005506; GO:0005737; GO:0061711	SSHG_02718
XNR_5036	GO:0016787	SSHG_00911
XNR_2999	GO:0005737; GO:0070043	SSHG_02945
XNR_5552	GO:0016021	CLM82_30265 CWI85_02315 Salbus254_5825 SSHG_00396
XNR_1569	GO:0004342; GO:0005975; GO:0006044; GO:0019262	CWI85_01550 FRZ02_11500 Salbus254_1832 SSHG_04355
XNR_1783	GO:0016787	FRZ02_12560 Salbus254_2046 SSHG_04146
XNR_0321	GO:0003677; GO:0006355	CWI85_23245 SSHG_05607
XNR_0284	GO:0003824	Salbus254_0545 SSHG_05642
XNR_5881	GO:0016491	Salbus254_6280 SSHG_00067
XNR_1609	GO:0016787	Salbus254_1873 SSHG_04316
XNR_3531	GO:0006782; GO:0008883; GO:0050661	FRZ02_15655 Salbus254_3725 SSHG_02399
XNR_2660	GO:0003700	Salbus254_2886 SSHG_03274
XNR_5833	GO:0004368; GO:0006072; GO:0009331	FRZ02_22200 Salbus254_6214 SSHG_00120
XNR_5754	GO:0004370; GO:0005524; GO:0006072; GO:0019563	CWI85_01455 FRZ02_21775 Salbus254_6130 SSHG_00200
XNR_3877	GO:0005975; GO:0006099; GO:0006108; GO:0030060	CLM82_27845 CWI85_02965 FRZ02_25445 Salbus254_4098 SSHG_02056
XNR_3305	GO:0003677	Salbus254_3507 SSHG_02633
XNR_2374	GO:0000160; GO:0003677; GO:0006355	Salbus254_2626 SSHG_03548
XNR_1080	GO:0000155; GO:0005524; GO:0016021	Salbus254_1328 SSHG_04846
XNR_3746	GO:0003735; GO:0006412; GO:0015935; GO:0019843	CLM82_14695 CWI85_36290 FE156_18955 FRZ02_24715 Salbus254_3950 SSHG_02189
XNR_4392	GO:0008660; GO:0009310; GO:0030170	FRZ02_28000 Salbus254_4629 SSHG_01543
XNR_3683	GO:0005886; GO:0016021; GO:0042773; GO:0048038; GO:0050136	Salbus254_3870 SSHG_02246
XNR_0373	GO:0005524; GO:0005886; GO:0015611; GO:0016887	FRZ02_05510 Salbus254_0635 SSHG_05549
XNR_5456	GO:0005975; GO:0009058; GO:0016779; GO:0016868	FRZ02_20320 Salbus254_5726 SSHG_00491
XNR_5626	GO:0004601; GO:0051920	FRZ02_21170 Salbus254_5993 SSHG_00321
XNR_0414	GO:0051082; GO:0051131	CWI85_19020 Salbus254_0677 SSHG_05510
XNR_1374	GO:0016021	FRZ02_10510 SSHG_04554
XNR_5580	GO:0008168	CWI85_28035 Salbus254_5853 SSHG_00367
XNR_0183	GO:0048037	CLM82_14930 CWI85_07660 SSHG_05734
XNR_1091	GO:0016740	CWI85_30080 SSHG_04835
XNR_5269	GO:0003677; GO:0003700; GO:0005737; GO:0006526; GO:0034618; GO:0051259	CLM82_27230 CWI85_33160 EQK42_18170 FRZ02_19370 SSHG_00680
XNR_4630	GO:0016021	CWI85_17170 FRZ02_29175 Salbus254_4892 SSHG_01308
XNR_3790	GO:0006474; GO:0008080	Salbus254_3995 SSHG_02145
XNR_0527	GO:0003677; GO:0003700	FRZ02_06410 SSHG_05397
XNR_4141	GO:0016491	CWI85_23660 FRZ02_26715 Salbus254_4368 SSHG_01797
XNR_5803	GO:0004497; GO:0016705	Salbus254_6184 SSHG_00151
XNR_3493	GO:0003677; GO:0005524; GO:0006281; GO:0016779; GO:0019932	Salbus254_3687 SSHG_02442
XNR_1130	GO:0000287; GO:0003723; GO:0004654; GO:0005737; GO:0006396; GO:0006402	CLM82_19075 CWI85_35035 FRZ02_09305 Salbus254_1378 SSHG_04788
XNR_4441	GO:0048037	CWI85_03350 FRZ02_28220 SSHG_01494
XNR_3738	GO:0003735; GO:0005840; GO:0006412; GO:0019843	CLM82_14740 CWI85_36245 EQK42_05290 FE156_18910 FRZ02_24670 Salbus254_3942 SSHG_02197
XNR_3728	GO:0000049; GO:0003735; GO:0005840; GO:0006412	CLM82_14790 CWI85_35555 EQK42_05340 FE156_18860 FRZ02_24620 FRZ02_31275 Salbus254_3932 SSHG_02207
XNR_3074	GO:0006807; GO:0016787	Salbus254_3276 SSHG_02870
XNR_4936	GO:0003677; GO:0003700	CWI85_35755 FRZ02_16860 SSHG_01005
XNR_4440	GO:0008168	FRZ02_28215 Salbus254_4677 SSHG_01495
XNR_5785	GO:0016787	FRZ02_21925 SSHG_00168
XNR_2567	GO:0016114; GO:0019288; GO:0050518	CWI85_37080 FRZ02_24080 Salbus254_2793 SSHG_03365
XNR_0251	GO:0016301	CLM82_22560 EQK42_23280 FRZ02_04930 Salbus254_0513 SSHG_05670
XNR_5266	GO:0004042; GO:0004358; GO:0005737; GO:0006526; GO:0103045	CWI85_33145 SSHG_00683
XNR_4736	GO:0016021; GO:0022857	Salbus254_5000 SSHG_01202
XNR_4929	GO:0004802; GO:0046872	CWI85_18205 FRZ02_16895 Salbus254_5193 SSHG_01014
XNR_3807	GO:0003938	CWI85_17895 Salbus254_4012 SSHG_02128
XNR_3821	GO:0003922; GO:0005524; GO:0006541; GO:0016462; GO:0016740	CWI85_36145 FRZ02_25105 SSHG_02110
XNR_4419	GO:0004820; GO:0005524; GO:0005737; GO:0006426	CWI85_31155 FE156_22185 Salbus254_4656 SSHG_01516
XNR_4592	GO:0016491	Salbus254_4854 SSHG_01346
XNR_1198	GO:0005524; GO:0005737; GO:0033862; GO:0044210	CLM82_24700 CWI85_02360 EQK42_22485 FRZ02_09640 Salbus254_1449 SSHG_04721
XNR_3806	GO:0000166; GO:0003938; GO:0006177; GO:0046872	CLM82_03900 CWI85_17890 FRZ02_25020 Salbus254_4011 SSHG_02129
XNR_5348	GO:0003735; GO:0006412; GO:0015935; GO:0019843	CLM82_28670 CWI85_24495 EQK42_03480 FE156_27030 FRZ02_19760 Salbus254_5618 SSHG_00607
XNR_2261	GO:0016021	CWI85_38210 FRZ02_14910 SSHG_03661
XNR_5830	GO:0004497	Salbus254_6211 SSHG_00123
XNR_3722	GO:0003746; GO:0003924; GO:0005525; GO:0005737	CWI85_35525 FRZ02_24590 Salbus254_3926 SSHG_02213
XNR_5700	GO:0003735; GO:0005840; GO:0006412	CLM82_18585 FE156_28815 FRZ02_21505 SSHG_00251
XNR_1231	GO:0003998	CLM82_28415 CWI85_08395 Salbus254_1483 SSHG_04688
XNR_4502	GO:0016491	FRZ02_28535 Salbus254_4740 SSHG_01438
XNR_2973	GO:0003677; GO:0003678; GO:0005524; GO:0006269; GO:1990077	CLM82_14065 CWI85_34880 FRZ02_00495 Salbus254_3175 SSHG_02972
XNR_5801	GO:0005524; GO:0016887	Salbus254_6182 SSHG_00153
XNR_1513	GO:0003677	Salbus254_1776 SSHG_04409
XNR_2066	GO:0003735; GO:0005840; GO:0006412; GO:0008097	CWI85_23440 FRZ02_14015 SSHG_03867
XNR_5275	GO:0048037	Salbus254_5545 SSHG_00674
XNR_2917	GO:0005623; GO:0045454	CWI85_04730 FE156_15490 SSHG_03028
XNR_3272	GO:0051213	CWI85_18725 FRZ02_01990 Salbus254_3474 SSHG_02665
XNR_2947	GO:0016021	CLM82_14005 CWI85_34820 FRZ02_00405 Salbus254_3164 SSHG_02999
XNR_1249	GO:0016746	CWI85_08000 SSHG_04670
XNR_1202	GO:0003677	CWI85_36780 FRZ02_09660 SSHG_04716
XNR_4408	GO:0008237	CWI85_00770 FRZ02_28080 Salbus254_4645 SSHG_01527
XNR_3425	GO:0000287; GO:0004427; GO:0005737; GO:0006796	CLM82_32695 CWI85_06790 EQK42_25095 FE156_17350 FRZ02_16320 Salbus254_3619 SSHG_02513
XNR_0677	GO:0004148; GO:0005623; GO:0009055; GO:0045454; GO:0050660	CWI85_25865 FRZ02_06970 Salbus254_0909 SSHG_05247
XNR_1235	GO:0003735; GO:0006412; GO:0015934	CLM82_28395 CWI85_24080 EQK42_21265 FE156_06685 FRZ02_09835 Salbus254_1496 SSHG_04684
XNR_3039	GO:0016021; GO:0051301	CLM82_27505 Salbus254_3240 SSHG_02905
XNR_5423	GO:0001000; GO:0008270; GO:0045893	CLM82_24235 CWI85_19540 EQK42_02655 FE156_27395 FRZ02_20145 Salbus254_5693 SSHG_00530
XNR_4879	GO:0003677; GO:0003887; GO:0006261; GO:0006281; GO:0008408	Salbus254_5144 SSHG_01064
XNR_4430	GO:0005198; GO:0012506	CLM82_33370 EQK42_19395 FE156_22240 Salbus254_4667 SSHG_01505
XNR_5410	GO:0000105; GO:0004636; GO:0005524; GO:0005737	CLM82_20945 CWI85_03440 EQK42_02585 FE156_27325 FRZ02_20075 Salbus254_5680 SSHG_00544
XNR_1434	GO:0000160; GO:0003677; GO:0006355	EQK42_22045 SSHG_04493
XNR_1449	GO:0000014; GO:0003677; GO:0005737	Salbus254_1711 SSHG_04477
XNR_1477	GO:0004413; GO:0005524; GO:0005737; GO:0009088	CLM82_00705 CWI85_11310 Salbus254_1739 SSHG_04445
XNR_4415	GO:0003677; GO:0003700	Salbus254_4652 SSHG_01520
XNR_2730	GO:0016787	FRZ02_23390 SSHG_03203
XNR_1859	GO:0005886; GO:0007049; GO:0016021; GO:0051301	CLM82_24855 CWI85_08480 EQK42_26150 FE156_09795 FRZ02_12920 Salbus254_2117 SSHG_04070
XNR_4829	GO:0000105; GO:0000162; GO:0003949; GO:0004640; GO:0005737	FRZ02_17395 Salbus254_5095 SSHG_01109
XNR_4820	GO:0002161; GO:0006412; GO:0016829	Salbus254_5086 SSHG_01117
XNR_4688	GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539	CLM82_12050 CWI85_29545 FRZ02_29590 SSHG_01251
XNR_0210	GO:0004252; GO:0005576	FRZ02_04725 SSHG_05707
XNR_1512	GO:0005887; GO:0055085	FRZ02_11210 SSHG_04410
XNR_2383	GO:0003677; GO:0003700; GO:0097367; GO:1901135	CLM82_31410 CWI85_36480 FE156_12500 FRZ02_31940 SSHG_03539
XNR_3432	GO:0016021	CLM82_00780 CWI85_18010 FRZ02_16280 Salbus254_3627 SSHG_02506
XNR_5539	GO:0003700; GO:0043565	CLM82_03765 CWI85_20365 FRZ02_20740 Salbus254_5812 SSHG_00408
XNR_4800	GO:0000917; GO:0005737; GO:0043093	CWI85_33275 EQK42_06865 FRZ02_30090 Salbus254_5063 SSHG_01138
XNR_2804	GO:0003700	FRZ02_30555 Salbus254_3015 SSHG_03135
XNR_5361	GO:0003723; GO:0006353; GO:0031564	CLM82_26910 CWI85_17035 EQK42_14300 FRZ02_19825 Salbus254_5631 SSHG_00594
XNR_0816	GO:0005524	CWI85_01065 FRZ02_07615 SSHG_05109
XNR_2393	GO:0005524; GO:0005737; GO:0042026; GO:0051082	CLM82_10755 CWI85_35885 FRZ02_31990 Salbus254_2644 SSHG_03530
XNR_4897	GO:0008168	CWI85_26255 Salbus254_5161 SSHG_01046
XNR_0710	GO:0016491; GO:0020037; GO:0046872; GO:0051539	CWI85_30850 FRZ02_07135 Salbus254_0943 SSHG_05213
XNR_4944	GO:0000287; GO:0005737; GO:0008666; GO:0009089; GO:0019877	Salbus254_5208 SSHG_00997
XNR_0487	GO:0005737; GO:0016810	FRZ02_06210 Salbus254_0756 SSHG_05436
XNR_3983	GO:0016021	Salbus254_4203 SSHG_01951
XNR_1678	GO:0005886; GO:0016021; GO:0022857	Salbus254_1943 SSHG_04245
XNR_4390	GO:0003677	Salbus254_4627 SSHG_01545
XNR_4940	GO:0005524; GO:0016887	CWI85_35775 FE156_24830 FRZ02_16840 Salbus254_5204 SSHG_01001
XNR_0774	GO:0005524; GO:0016887	CWI85_09025 FRZ02_07445 Salbus254_1004 SSHG_05150
XNR_4438	GO:0009097; GO:0009098; GO:0009099; GO:0052654; GO:0052655; GO:0052656	FRZ02_28205 SSHG_01497
XNR_2926	GO:0016021; GO:0055085	CWI85_34505 FRZ02_00300 Salbus254_3143 SSHG_03020
XNR_4814	GO:0003676; GO:0003887; GO:0005737; GO:0006260; GO:0008408	CWI85_25535 FRZ02_17460 Salbus254_5080 SSHG_01123
XNR_1453	GO:0005524; GO:0008817; GO:0009236	FRZ02_10915 Salbus254_1715 SSHG_04473
XNR_1197	GO:0005737; GO:0006415	CLM82_24695 CWI85_02365 EQK42_22490 FE156_06490 FRZ02_09635 Salbus254_1448 SSHG_04722
