# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4164679	4166574	+	AGI89980.1			NADH-ubiquinone oxidoreductase chain L			XNR_3641	1896	631	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4166580	4168181	+							XNR_3642	1602		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4166580	4168181	+	AGI89981.1			NADH-ubiquinone oxidoreductase chain M			XNR_3642	1602	533	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4168178	4169827	+							XNR_3643	1650		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4168178	4169827	+	AGI89982.1			NADH-ubiquinone oxidoreductase chain N			XNR_3643	1650	549	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4170122	4172221	+							XNR_3644	2100		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4170122	4172221	+	AGI89983.1			ATP-dependent DNA helicase RecQ			XNR_3644	2100	699	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4172323	4173543	-							XNR_3645	1221		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4172323	4173543	-	AGI89984.1			Fumarylacetoacetase			XNR_3645	1221	406	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4173759	4173965	+							XNR_3646	207		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4173759	4173965	+	AGI89985.1			Hypothetical protein			XNR_3646	207	68	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4174029	4174187	-							XNR_3647	159		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4174029	4174187	-	AGI89986.1			Hypothetical protein			XNR_3647	159	52	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4174393	4175436	+							XNR_3648	1044		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4174393	4175436	+	AGI89987.1			Hydrolase			XNR_3648	1044	347	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4175455	4175904	-							XNR_3649	450		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4175455	4175904	-	AGI89988.1			Hypothetical protein			XNR_3649	450	149	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4176186	4177034	+							XNR_3650	849		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4176186	4177034	+	AGI89989.1			Hypothetical protein			XNR_3650	849	282	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4177041	4177826	-							XNR_3651	786		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4177041	4177826	-	AGI89990.1			Cyclohexanol dehydrogenase			XNR_3651	786	261	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4177925	4179967	-							XNR_3652	2043		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4177925	4179967	-	AGI89991.1			Peptidase S15			XNR_3652	2043	680	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4180010	4181557	-							XNR_3653	1548		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4180010	4181557	-	AGI89992.1			Di-/tripeptide transporter			XNR_3653	1548	515	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4181986	4182996	+							XNR_3654	1011		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4181986	4182996	+	AGI89993.1			Polyprenyl diphosphate synthase			XNR_3654	1011	336	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4183231	4184532	+							XNR_3655	1302		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4183231	4184532	+	AGI89994.1			Outer membrane lipoprotein-sorting protein-like protein			XNR_3655	1302	433	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4185092	4189462	-							XNR_3656	4371		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4185092	4189462	-	AGI89995.1			secreted protein			XNR_3656	4371	1456	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4190101	4190412	-							XNR_3657	312		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4190101	4190412	-	AGI89996.1			GNAT family acetyltransferase			XNR_3657	312	103	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4190745	4192106	-							XNR_3658	1362		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4190745	4192106	-	AGI89997.1			NsdA			XNR_3658	1362	453	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4192227	4192397	+							XNR_3659	171		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4192227	4192397	+	AGI89998.1			Hypothetical protein			XNR_3659	171	56	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4192394	4192513	+							XNR_3660	120		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4192394	4192513	+	AGI89999.1			Hypothetical protein			XNR_3660	120	39	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4192576	4192848	+							XNR_3661	273		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4192576	4192848	+	AGI90000.1			Hypothetical protein			XNR_3661	273	90	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4192845	4193810	+							XNR_3662	966		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4192845	4193810	+	AGI90001.1			RimK domain-containing protein ATP-grasp			XNR_3662	966	321	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4193807	4194952	+							XNR_3663	1146		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4193807	4194952	+	AGI90002.1			O-methyltransferase			XNR_3663	1146	381	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4195084	4195998	+							XNR_3664	915		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4195084	4195998	+	AGI90003.1			Methyltransferase type 11			XNR_3664	915	304	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4195995	4196804	+							XNR_3665	810		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4195995	4196804	+	AGI90004.1			type 11 methyltransferase			XNR_3665	810	269	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4196838	4197311	-							XNR_3666	474		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4196838	4197311	-	AGI90005.1			Hypothetical protein			XNR_3666	474	157	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4197445	4197792	+							XNR_3667	348		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4197445	4197792	+	AGI90006.1			Hypothetical protein			XNR_3667	348	115	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4197796	4199460	-							XNR_3668	1665		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4197796	4199460	-	AGI90007.1			Oleandomycin resistance protein oleB			XNR_3668	1665	554	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4199674	4200759	-							XNR_3669	1086		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4199674	4200759	-	AGI90008.1			Protein rarD			XNR_3669	1086	361	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4200895	4201767	-							XNR_3670	873		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4200895	4201767	-	AGI90009.1			NmrA family protein			XNR_3670	873	290	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4201920	4202306	+							XNR_3671	387		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4201920	4202306	+	AGI90010.1			Transcriptional regulator			XNR_3671	387	128	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4202387	4203472	-							XNR_3672	1086		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4202387	4203472	-	AGI90011.1			2-oxoglutarate ferredoxin oxidoreductase subunitbeta			XNR_3672	1086	361	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4203465	4205453	-							XNR_3673	1989		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4203465	4205453	-	AGI90012.1			2-oxoglutarate ferredoxin oxidoreductase			XNR_3673	1989	662	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4205786	4206445	-							XNR_3674	660		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4205786	4206445	-	AGI90013.1			LuxR family two-component system response regulator			XNR_3674	660	219	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4206852	4208201	-							XNR_3675	1350		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4206852	4208201	-	AGI90014.1			Two-component system sensor histidine kinase			XNR_3675	1350	449	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4208382	4209581	-							XNR_3676	1200		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4208382	4209581	-	AGI90015.1			Two-component system sensor histidine kinase			XNR_3676	1200	399	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4209802	4210185	+							XNR_3677	384		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4209802	4210185	+	AGI90016.1			NADH ubiquinone oxidoreductase chain A			XNR_3677	384	127	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4210176	4210826	+							XNR_3678	651		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4210176	4210826	+	AGI90017.1			NADH-ubiquinone oxidoreductase chain B			XNR_3678	651	216	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4210823	4212148	+							XNR_3679	1326		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4210823	4212148	+	AGI90018.1			NADH-ubiquinone oxidoreductase chain C			XNR_3679	1326	441	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4212145	4213113	+							XNR_3680	969		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4212145	4213113	+	AGI90019.1			NADH-ubiquinone oxidoreductase chain H			XNR_3680	969	322	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4213114	4213788	+							XNR_3681	675		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4213114	4213788	+	AGI90020.1			NADH-ubiquinone oxidoreductase chain I			XNR_3681	675	224	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4213785	4214435	+							XNR_3682	651		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4213785	4214435	+	AGI90021.1			NADH dehydrogenase chain J			XNR_3682	651	216	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4214435	4214866	+							XNR_3683	432		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4214435	4214866	+	AGI90022.1			NADH-ubiquinone oxidoreductase chain K			XNR_3683	432	143	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4214863	4216854	+							XNR_3684	1992		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4214863	4216854	+	AGI90023.1			NADH-ubiquinone oxidoreductase chain L			XNR_3684	1992	663	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4216860	4218434	+							XNR_3685	1575		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4216860	4218434	+	AGI90024.1			NADH dehydrogenase subunit I M			XNR_3685	1575	524	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4218431	4219972	+							XNR_3686	1542		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4218431	4219972	+	AGI90025.1			NADH-ubiquinone oxidoreductase chain N			XNR_3686	1542	513	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4220131	4220991	+							XNR_3687	861		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4220131	4220991	+	AGI90026.1			Protease HtpX-like protein 1			XNR_3687	861	286	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4220988	4221380	+							XNR_3688	393		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4220988	4221380	+	AGI90027.1			Integral membrane protein			XNR_3688	393	130	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4221560	4221826	+							XNR_3689	267		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4221560	4221826	+	AGI90028.1			Integral membrane protein			XNR_3689	267	88	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4221893	4222381	-							XNR_3690	489		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4221893	4222381	-	AGI90029.1			nucleotide-binding protein			XNR_3690	489	162	
gene	tRNA	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4222593	4222674	+							XNR_3691	82		
tRNA		GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4222593	4222674	+				tRNA-Tyr			XNR_3691	82		
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4222817	4223149	+							XNR_3692	333		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4222817	4223149	+	AGI90030.1			Hypothetical protein			XNR_3692	333	110	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4223247	4223903	-							XNR_3693	657		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4223247	4223903	-	AGI90031.1			NAD-dependent epimerase/dehydratase			XNR_3693	657	218	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4223965	4225227	-							XNR_3694	1263		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4223965	4225227	-	AGI90032.1			Hydrolase			XNR_3694	1263	420	
gene	tRNA	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4225558	4225630	+							XNR_3695	73		
tRNA		GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4225558	4225630	+				tRNA-Thr			XNR_3695	73		
gene	tRNA	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4225681	4225753	+							XNR_3696	73		
tRNA		GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4225681	4225753	+				tRNA-Met			XNR_3696	73		
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4225845	4226009	+							XNR_3697	165		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4225845	4226009	+	AGI90033.1			50S ribosomal protein L33 2			XNR_3697	165	54	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4226165	4226617	+							XNR_3698	453		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4226165	4226617	+	AGI90034.1			MaoC domain protein dehydratase			XNR_3698	453	150	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4226623	4227051	+							XNR_3699	429		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4226623	4227051	+	AGI90035.1			Dehydratase			XNR_3699	429	142	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4227105	4228160	+							XNR_3700	1056		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4227105	4228160	+	AGI90036.1			UDP-N-acetylenolpyruvoylglucosamine reductase			XNR_3700	1056	351	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4228176	4228808	-							XNR_3701	633		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4228176	4228808	-	AGI90037.1			NAD-dependent epimerase/dehydratase			XNR_3701	633	210	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4228836	4229951	-							XNR_3702	1116		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4228836	4229951	-	AGI90038.1			Adenosine deaminase			XNR_3702	1116	371	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4230091	4231317	-							XNR_3703	1227		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4230091	4231317	-	AGI90039.1			Aspartate aminotransferase			XNR_3703	1227	408	
gene	tRNA	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4231521	4231593	+							XNR_3704	73		
tRNA		GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4231521	4231593	+				tRNA-Trp			XNR_3704	73		
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4231702	4231983	+							XNR_3705	282		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4231702	4231983	+	AGI90040.1			Preprotein translocase subunit SecE			XNR_3705	282	93	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4232060	4232923	+							XNR_3706	864		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4232060	4232923	+	AGI90041.1			Transcription antitermination protein nusG			XNR_3706	864	287	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4233114	4233548	+							XNR_3707	435		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4233114	4233548	+	AGI90042.1			50S ribosomal protein L11			XNR_3707	435	144	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4233649	4234377	+							XNR_3708	729		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4233649	4234377	+	AGI90043.1			50S ribosomal protein L1			XNR_3708	729	242	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4234554	4235519	+							XNR_3709	966		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4234554	4235519	+	AGI90044.1			lipoprotein			XNR_3709	966	321	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4235900	4236427	+							XNR_3710	528		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4235900	4236427	+	AGI90045.1			50S ribosomal protein L10			XNR_3710	528	175	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4236539	4236922	+							XNR_3711	384		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4236539	4236922	+	AGI90046.1			50S ribosomal protein L7/L12			XNR_3711	384	127	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4237539	4241021	+							XNR_3712	3483		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4237539	4241021	+	AGI90047.1			DNA-directed RNA polymerase beta subunit			XNR_3712	3483	1160	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4241148	4245047	+							XNR_3713	3900		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4241148	4245047	+	AGI90048.1			DNA-directed RNA polymerase beta' subunit			XNR_3713	3900	1299	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4245132	4246373	-							XNR_3714	1242		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4245132	4246373	-	AGI90049.1			translation initiation factor IF-2			XNR_3714	1242	413	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4246442	4247059	-							XNR_3715	618		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4246442	4247059	-	AGI90050.1			Hypothetical protein			XNR_3715	618	205	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4247056	4248546	-							XNR_3716	1491		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4247056	4248546	-	AGI90051.1			Hypothetical protein			XNR_3716	1491	496	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4248603	4250975	-							XNR_3717	2373		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4248603	4250975	-	AGI90052.1			Hypothetical protein			XNR_3717	2373	790	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4250972	4251982	-							XNR_3718	1011		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4250972	4251982	-	AGI90053.1			Hypothetical protein			XNR_3718	1011	336	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4252174	4252869	-							XNR_3719	696		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4252174	4252869	-	AGI90054.1			transcriptional regulator, Crp/Fnr family			XNR_3719	696	231	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4253459	4253830	+							XNR_3720	372		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4253459	4253830	+	AGI90055.1			30S ribosomal protein S12			XNR_3720	372	123	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4253833	4254303	+							XNR_3721	471		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4253833	4254303	+	AGI90056.1			30S ribosomal protein S7			XNR_3721	471	156	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4254343	4256469	+							XNR_3722	2127		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4254343	4256469	+	AGI90057.1			Elongation factor G			XNR_3722	2127	708	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4256621	4257814	+							XNR_3723	1194		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4256621	4257814	+	AGI90058.1			Elongation factor Tu 1			XNR_3723	1194	397	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4258134	4260455	+							XNR_3724	2322		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4258134	4260455	+	AGI90059.1			Magnesium or manganese-dependent protein phosphatase			XNR_3724	2322	773	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4260510	4261142	-							XNR_3725	633		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4260510	4261142	-	AGI90060.1			Transcriptional regulator, GntR family			XNR_3725	633	210	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4261399	4261812	+							XNR_3726	414		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4261399	4261812	+	AGI90061.1			Aspartate 1-decarboxylase			XNR_3726	414	137	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4261884	4262744	-							XNR_3727	861		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4261884	4262744	-	AGI90062.1			Hypothetical protein			XNR_3727	861	286	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4263359	4263667	+							XNR_3728	309		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4263359	4263667	+	AGI90063.1			30S ribosomal protein S10			XNR_3728	309	102	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4263682	4264326	+							XNR_3729	645		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4263682	4264326	+	AGI90064.1			50S ribosomal protein L3			XNR_3729	645	214	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4264334	4264987	+							XNR_3730	654		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4264334	4264987	+	AGI90065.1			50S ribosomal protein L4			XNR_3730	654	217	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4264987	4265403	+							XNR_3731	417		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4264987	4265403	+	AGI90066.1			50S ribosomal protein L23			XNR_3731	417	138	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4265442	4266278	+							XNR_3732	837		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4265442	4266278	+	AGI90067.1			50S ribosomal protein L2			XNR_3732	837	278	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4266291	4266572	+							XNR_3733	282		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4266291	4266572	+	AGI90068.1			30S ribosomal protein S19			XNR_3733	282	93	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4266617	4266964	+							XNR_3734	348		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4266617	4266964	+	AGI90069.1			50S ribosomal protein L22			XNR_3734	348	115	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4266964	4267794	+							XNR_3735	831		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4266964	4267794	+	AGI90070.1			30S ribosomal protein S3			XNR_3735	831	276	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4267800	4268219	+							XNR_3736	420		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4267800	4268219	+	AGI90071.1			50S ribosomal protein L16			XNR_3736	420	139	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4268219	4268443	+							XNR_3737	225		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4268219	4268443	+	AGI90072.1			50S ribosomal protein L29			XNR_3737	225	74	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4268443	4268730	+							XNR_3738	288		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4268443	4268730	+	AGI90073.1			30S ribosomal protein S17			XNR_3738	288	95	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	4268864	4269232	+							XNR_3739	369		
